City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mana,GF,5.6592,-53.7767,84.63,69,52,9.28
1,Albany,US,42.6001,-73.9662,51.62,50,13,4.0
2,Rikitea,PF,-23.1203,-134.9692,69.62,77,99,23.96
3,Santa Cruz,BO,-17.8,-63.1667,89.06,66,75,23.02
4,Xuddur,SO,4.1213,43.8894,82.99,46,85,9.22
5,Vaini,TO,-21.2,-175.2,71.76,100,40,3.44
6,Campos Altos,BR,-19.6961,-46.1714,84.92,31,49,5.41
7,Hasaki,JP,35.7333,140.8333,55.29,49,0,3.96
8,Hilo,US,19.7297,-155.09,81.28,88,75,5.75
9,Neuquen,AR,-38.9516,-68.0591,66.09,34,0,8.05
10,Tabas,IR,33.5959,56.9244,77.22,19,14,2.3
11,Douglas,US,41.3,-96.167,58.93,50,0,11.5
12,Lae,PG,-6.7221,146.9847,75.97,71,93,4.76
13,Ostrovnoy,RU,68.0531,39.5131,29.23,91,95,25.17
14,Mataura,NZ,-46.1927,168.8643,34.23,81,49,3.06
15,Torbay,CA,47.6666,-52.7314,62.17,89,75,24.16
16,Sechura,PE,-5.5569,-80.8222,65.97,70,99,10.02
17,Bluff,NZ,-46.6,168.3333,45.61,54,35,14.63
18,Busselton,AU,-33.65,115.3333,53.89,85,80,5.95
19,Mar Del Plata,AR,-38.0023,-57.5575,77.83,82,75,9.22
20,Pisco,PE,-13.7,-76.2167,62.65,82,20,11.5
21,Stephenville,US,32.2207,-98.2023,72.86,43,0,13.8
22,Toropets,RU,56.4978,31.6353,39.27,90,70,4.59
23,Severo-Kurilsk,RU,50.6789,156.125,42.53,80,96,10.58
24,Ushuaia,AR,-54.8,-68.3,40.66,60,75,13.8
25,Port Elizabeth,ZA,-33.918,25.5701,70.11,78,20,17.27
26,Asau,RO,46.4333,26.4,47.32,60,7,2.46
27,Hermanus,ZA,-34.4187,19.2345,67.8,66,12,9.24
28,Guerrero Negro,MX,27.9769,-114.0611,73.18,72,5,5.12
29,Banjar,ID,-8.19,114.9675,78.57,88,100,2.3
30,Lebu,CL,-37.6167,-73.65,56.28,72,86,8.23
31,Monteria,CO,8.748,-75.8814,82.94,80,94,8.19
32,Ribeira Grande,PT,38.5167,-28.7,70.2,64,40,14.97
33,Gushikawa,JP,26.3544,127.8686,78.39,69,20,16.11
34,Atuona,PF,-9.8,-139.0333,76.55,76,14,18.61
35,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,100,11.5
36,Punta Arenas,CL,-53.15,-70.9167,42.91,52,40,28.77
37,Faanui,PF,-16.4833,-151.75,78.94,72,14,13.13
38,Jamestown,US,42.097,-79.2353,40.59,63,20,13.8
39,Saquarema,BR,-22.92,-42.5103,86.14,65,34,11.05
40,Xining,CN,36.6167,101.7667,43.83,82,100,1.81
41,Butaritari,KI,3.0707,172.7902,80.64,77,47,6.98
42,Tilichiki,RU,60.4667,166.1,19.6,83,96,5.08
43,Harper,LR,4.375,-7.7169,79.36,79,49,6.42
44,Klaksvik,FO,62.2266,-6.589,47.32,80,100,23.87
45,Dunhua,CN,43.3725,128.2425,43.63,72,80,5.86
46,Ilulissat,GL,69.2167,-51.1,23.02,63,75,20.71
