City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
1,Pong,TH,88.61,19.1493,100.2752,scattered clouds,999 Hotel
8,Kolaras,IN,76.24,25.2333,77.6,clear sky,Shiv Shakti Garden (Gayatri Colony)
14,Pailon,BO,81.5,-17.65,-62.75,broken clouds,La plaza
23,Mandapam,IN,83.34,9.2833,79.1167,scattered clouds,Tanvi Chachaa Chalet
24,Hilo,US,77.25,19.7297,-155.09,few clouds,Hilo Hawaiian Hotel
33,Maubin,MM,86.18,16.7333,95.65,broken clouds,SSB office
36,Ko Samui,TH,87.71,9.5357,99.9357,few clouds,The Passage
37,Matara,LK,82.36,5.9485,80.5353,light rain,Amaloh Boutique Resort
40,Atambua,ID,86.22,-9.1061,124.8925,overcast clouds,Ros Muskanan
45,Souillac,MU,75.58,-20.5167,57.5167,light rain,Shanti Maurice Resort & Spa
47,Pochutla,MX,78.82,15.7432,-96.4661,overcast clouds,Hotel Posada San Jose
48,Georgetown,MY,85.95,5.4112,100.3354,few clouds,Cititel Penang
49,Isangel,VU,78.91,-19.55,169.2667,broken clouds,Tanna Lodge
51,Carupano,VE,78.6,10.6678,-63.2585,broken clouds,Hotel La dorada
53,Atuona,PF,77.29,-9.8,-139.0333,clear sky,Villa Enata
56,Touros,BR,76.93,-5.1989,-35.4608,scattered clouds,INN NEW HORIZON
57,Airai,TL,77.68,-8.9266,125.4092,overcast clouds,
60,Kavieng,PG,84.65,-2.5744,150.7967,overcast clouds,Nusa Island Retreat
61,Iracoubo,GF,78.39,5.4802,-53.2011,scattered clouds,Le Gîte d’Iracoubo
64,Lorengau,PG,86.38,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
67,Kapaa,US,77.32,22.0752,-159.319,light rain,Sheraton Kauai Coconut Beach Resort
71,Bengkulu,ID,76.14,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
74,Hithadhoo,MV,82.53,-0.6,73.0833,scattered clouds,Scoop Guest House
79,Butaritari,KI,82.36,3.0707,172.7902,light rain,Isles Sunset Lodge
80,Victoria,HK,81.97,22.2855,114.1577,broken clouds,Mini Central
87,Porto Novo,BJ,75.02,6.4965,2.6036,overcast clouds,Tour Eiffel Hotel Benin
92,Saint-Joseph,RE,75.58,-21.3667,55.6167,clear sky,"""Plantation Bed and Breakfast"
94,Kuantan,MY,82.98,3.8077,103.326,moderate rain,Hotel Sentral Kuantan
95,Oistins,BB,84.29,13.0667,-59.5333,broken clouds,Butterfly Beach Hotel
98,Sao Filipe,CV,78.13,14.8961,-24.4956,overcast clouds,Hotel Xaguate
