City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,59.25,96,75,11.5,broken clouds
1,Porto Belo,BR,-27.1578,-48.5531,71.55,91,78,11.27,broken clouds
2,Kokopo,PG,-4.352,152.2633,84.2,66,100,6.58,light rain
3,Kapaa,US,22.0752,-159.319,82.38,78,20,13.8,few clouds
4,Bredasdorp,ZA,-34.5322,20.0403,58.3,97,100,2.37,overcast clouds
5,Qaanaaq,GL,77.484,-69.3632,-0.56,70,5,9.35,clear sky
6,Ushuaia,AR,-54.8,-68.3,49.66,50,75,17.27,broken clouds
7,Dikson,RU,73.5069,80.5464,21.09,84,83,10.33,broken clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,55.42,95,100,13.8,overcast clouds
9,East London,ZA,-33.0153,27.9116,64.18,85,0,15.48,clear sky
10,Vila Velha,BR,-20.3297,-40.2925,71.55,94,40,3.44,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,73.42,82,68,8.34,broken clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,11.39,85,8,17.25,clear sky
13,Coihaique,CL,-45.5752,-72.0662,49.95,50,0,8.05,clear sky
14,Belaya Gora,RU,68.5333,146.4167,13.12,87,63,5.66,broken clouds
15,Tasiilaq,GL,65.6145,-37.6368,30.36,95,80,6.08,broken clouds
16,Kruisfontein,ZA,-34.0033,24.7314,54.88,90,0,5.95,clear sky
17,Aklavik,CA,68.2191,-135.0107,12.83,95,100,6.67,light snow
18,Pevek,RU,69.7008,170.3133,-4.04,99,50,5.68,scattered clouds
19,Gornopravdinsk,RU,60.05,69.9,23.38,92,7,3.06,clear sky
20,Boyolangu,ID,-8.1181,111.8935,81.3,71,79,10.71,broken clouds
21,Paragould,US,36.0584,-90.4973,54.82,66,0,7.56,clear sky
22,Whitecourt,CA,54.1502,-115.6855,39.79,36,100,5.97,overcast clouds
23,Zhanaozen,KZ,43.3,52.8,48.15,53,100,16.93,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,62.8,93,100,5.44,overcast clouds
25,Coquimbo,CL,-29.9533,-71.3436,53.33,100,0,3.44,clear sky
26,Codrington,AU,-38.2667,141.9667,57.07,94,100,13.33,overcast clouds
27,Kjollefjord,NO,70.9457,27.3465,33.85,93,100,6.91,overcast clouds
28,Muros,ES,42.7762,-9.0603,67.68,87,95,19.04,moderate rain
29,Vao,NC,-22.6667,167.4833,74.14,81,10,13.18,clear sky
30,Provideniya,RU,64.3833,-173.3,24.91,58,100,7.0,overcast clouds
31,Punta Arenas,CL,-53.15,-70.9167,46.11,65,100,30.11,light rain
32,Buta,CD,2.7858,24.73,68.59,99,97,0.67,overcast clouds
33,Clyde River,CA,70.4692,-68.5914,25.03,100,100,25.32,light snow
34,Yellowknife,CA,62.456,-114.3525,26.56,92,99,3.0,overcast clouds
35,Hithadhoo,MV,-0.6,73.0833,82.31,75,29,7.2,scattered clouds
36,Borgustanskaya,RU,44.0547,42.5288,33.6,68,100,2.59,overcast clouds
37,Mandera,KE,3.9366,41.867,77.49,77,14,13.31,few clouds
38,Port Lincoln,AU,-34.7333,135.8667,63.25,58,7,18.3,clear sky
39,Dryden,CA,49.7833,-92.7503,28.53,80,16,2.57,few clouds
40,Barrow,US,71.2906,-156.7887,21.22,86,75,11.5,light snow
41,Kaitangata,NZ,-46.2817,169.8464,47.16,97,100,8.19,light rain
42,Ostrovnoy,RU,68.0531,39.5131,36.54,88,100,13.76,light rain
43,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,80,99,15.03,overcast clouds
44,Atuona,PF,-9.8,-139.0333,77.2,77,14,19.06,few clouds
45,Buala,SB,-8.145,159.5921,83.41,73,67,2.39,moderate rain
46,Nikolskoye,RU,59.7035,30.7861,49.91,98,100,3.94,overcast clouds
47,Kahului,US,20.8947,-156.47,82.42,80,40,13.8,scattered clouds
48,Pilani,IN,28.3684,75.6041,77.47,32,0,7.67,clear sky
49,Noshiro,JP,40.2039,140.0242,56.21,56,56,3.94,broken clouds
50,Vaini,TO,-21.2,-175.2,80.76,65,75,9.22,broken clouds
51,Tilichiki,RU,60.4667,166.1,27.52,72,50,7.38,scattered clouds
52,Iracoubo,GF,5.4802,-53.2011,77.31,89,100,9.4,overcast clouds
53,Fowa,NG,8.9167,6.4,74.32,74,88,0.38,overcast clouds
54,Bowen,AU,-20.0167,148.2333,84.04,77,22,13.09,few clouds
55,Cidreira,BR,-30.1811,-50.2056,66.9,95,100,7.74,overcast clouds
56,Mataura,NZ,-46.1927,168.8643,47.48,99,100,5.68,light rain
57,Zyryanka,RU,65.75,150.85,19.45,79,100,7.56,overcast clouds
58,Voh,NC,-20.9667,164.7,79.7,71,69,5.28,broken clouds
59,Luderitz,NA,-26.6481,15.1594,58.08,86,0,12.12,clear sky
60,Tiarei,PF,-17.5333,-149.3333,80.62,83,100,19.24,light rain
61,Maldonado,UY,-34.6667,-54.9167,63.79,83,16,15.17,few clouds
62,Lakes Entrance,AU,-37.8811,147.981,71.17,53,96,11.92,overcast clouds
63,Tabuk,PH,17.4189,121.4443,81.82,69,92,7.63,overcast clouds
64,Albany,US,42.6001,-73.9662,63.55,77,63,3.0,broken clouds
65,Omaruru,NA,-21.4333,15.9333,69.93,34,8,5.39,clear sky
66,Santa Cruz,BO,-17.8,-63.1667,81.86,69,40,6.91,scattered clouds
67,Te Anau,NZ,-45.4167,167.7167,49.35,98,100,1.39,moderate rain
68,Ambanja,MG,-13.6833,48.45,73.54,83,91,2.46,overcast clouds
69,Iqaluit,CA,63.7506,-68.5145,35.33,80,100,11.5,light rain
70,Cherskiy,RU,68.75,161.3,-3.12,97,100,4.56,overcast clouds
71,Half Moon Bay,US,37.4636,-122.4286,60.1,67,0,18.41,clear sky
72,Rawson,AR,-43.3002,-65.1023,61.84,32,3,20.54,clear sky
73,Navolato,MX,24.7672,-107.6944,75.38,70,3,5.48,clear sky
74,Chokurdakh,RU,70.6333,147.9167,9.82,96,97,9.4,overcast clouds
75,Hoi An,VN,15.8794,108.335,82.36,76,100,6.06,overcast clouds
76,Lebu,CL,-37.6167,-73.65,49.23,92,9,7.81,clear sky
77,Xuddur,SO,4.1213,43.8894,71.38,91,50,10.58,scattered clouds
